week,checkout_price,base_price,num_orders,emailer_for_promotion,homepage_featured,op_area,Beverages,Biryani,Desert,Extras,Fish,Other Snacks,Pasta,Pizza,Rice Bowl,Salad,Sandwich,Seafood,Soup,Starters,Continental,Indian,Italian,Thai,region1,region2,region3,region4,region5,region6,region7,region8,TYPE_A,TYPE_B,TYPE_C
1,965809.2600000078,1018365.320000006,792261,357,414,4.079876796714476,55.0,4.0,15.0,6.0,7.0,16.0,10.0,13.0,24.0,20.0,10.0,16.0,7.0,15.0,55.0,55.0,49.0,59.0,4.0,45.0,4.0,99.0,3.0,44.0,17.0,2.0,128.0,45.0,45.0
2,938092.4300000127,1005779.2000000073,787084,621,514,4.085013812154592,55.0,8.0,17.0,5.0,6.0,14.0,8.0,15.0,20.0,20.0,10.0,15.0,5.0,20.0,52.0,58.0,47.0,61.0,4.0,48.0,4.0,96.0,3.0,45.0,16.0,2.0,127.0,45.0,46.0
3,948560.2800000127,1008352.0500000068,695262,104,316,4.078682304242737,58.0,9.0,17.0,3.0,4.0,15.0,7.0,14.0,20.0,20.0,12.0,16.0,6.0,16.0,52.0,59.0,48.0,58.0,4.0,48.0,3.0,97.0,3.0,44.0,16.0,2.0,127.0,45.0,45.0
4,953833.6900000125,1006446.9000000076,743529,0,292,4.0877466251297,54.0,9.0,13.0,3.0,6.0,16.0,7.0,15.0,18.0,22.0,11.0,15.0,6.0,17.0,52.0,52.0,48.0,60.0,4.0,47.0,3.0,95.0,2.0,44.0,15.0,2.0,123.0,44.0,45.0
5,901141.580000016,1001075.1600000093,1198675,337,466,4.077824414130715,43.0,7.0,11.0,2.0,5.0,16.0,6.0,10.0,17.0,15.0,10.0,11.0,7.0,15.0,36.0,45.0,39.0,55.0,4.0,37.0,0.0,79.0,0.0,38.0,15.0,2.0,103.0,36.0,36.0
6,912920.0100000129,1000577.5200000085,947288,120,451,4.084293745607772,46.0,9.0,13.0,3.0,4.0,17.0,5.0,9.0,16.0,13.0,9.0,7.0,7.0,17.0,32.0,49.0,34.0,60.0,4.0,37.0,0.0,78.0,0.0,38.0,16.0,2.0,103.0,36.0,36.0
7,942304.3800000078,980376.4000000077,934803,151,292,4.093023255813867,45.0,8.0,13.0,3.0,3.0,18.0,6.0,8.0,16.0,12.0,8.0,8.0,7.0,16.0,33.0,48.0,30.0,60.0,4.0,35.0,0.0,77.0,0.0,39.0,14.0,2.0,103.0,33.0,35.0
8,919479.7800000095,964105.4800000096,670518,231,339,4.096446518305727,42.0,9.0,13.0,4.0,4.0,15.0,6.0,9.0,16.0,11.0,10.0,8.0,7.0,16.0,34.0,47.0,32.0,57.0,4.0,35.0,0.0,74.0,0.0,39.0,16.0,2.0,100.0,34.0,36.0
9,923631.4600000138,997823.6200000112,723243,197,367,4.080413454800182,44.0,9.0,15.0,4.0,3.0,16.0,6.0,9.0,13.0,12.0,11.0,7.0,7.0,18.0,33.0,46.0,34.0,61.0,4.0,36.0,0.0,78.0,0.0,38.0,16.0,2.0,101.0,37.0,36.0
10,925551.3800000177,1004349.280000013,811825,347,424,4.08303602658262,46.0,6.0,11.0,4.0,4.0,18.0,6.0,9.0,13.0,13.0,11.0,8.0,7.0,18.0,36.0,38.0,36.0,64.0,4.0,38.0,0.0,76.0,0.0,39.0,14.0,3.0,103.0,37.0,34.0
